company_name,website,project_sector,project_state,industry,segment
"Titomic USA Inc. Huntsville Limestone",,"Titanium Additive Coatings",Alabama,,
"M&J Industries Decatur Morgan",,"Machine Shop",Alabama,,
"Qualico Webb Houston",,"Steel Fabrication",Alabama,,
"Derichebourg Mobile",,"Aerospace Staffing",Alabama,,
"GE Aerospace Auburn Lee",,"Aerospace Product and Parts Manufacturin",Alabama,,
"GE Aerospace Huntsville Limestone",,"Carbon Composites",Alabama,,
"SES Inc. Huntsville Madison",,"Aircraft Integration",Alabama,,
"TSA LLC Tuskegee Macon",,"Specialty Automotive Fabricator",Alabama,,
"Kimberly-Clark Mobile",,"Paper Manufacturing",Alabama,,
"Lightsource BP Montgomery",,"Solar Power Generation",Alabama,,
"Toyota Tsusho Huntsville Limestone",,"Solar Power Generation",Alabama,,
"Core Scientific Auburn Lee",,"Multi - Tenant Data Center",Alabama,,
"SmartWiz Birmingham Jefferson",,"Tax Software Technology Company",Alabama,,
"Dotier LLC (Meta) Montgomery",,"Data Storage and Distribution",Alabama,,
"Prism Systems Mobile",,"Software Engineering Firm",Alabama,,
"Hadrian",,"Aerospace/AI Mfg",Arizona,,
"KPPC Advanced Chemicals",,"Semiconductors",Arizona,,
"Ascent Aviation Services",,"Aerospace",Arizona,,
"KoMiCo",,"Semiconductors",Arizona,,
"Gifthealth",,"Life Sciences/Tech",Arizona,,
"DSV",,"Logistics",Arizona,,
"AbbVie",,"Life Sciences",Arizona,,
"Mayo Clinic",,"Life Sciences",Arizona,,
"Eternity Technologies",,"Battery",Arizona,,
"Komatsu",,"Mining",Arizona,,
"Brewer Science",,"Semiconductors",Arizona,,
"Dutch Bros",,"HQ/Food & Bev",Arizona,,
"Kestra Holdings",,"Financial Services",Arizona,,
"Quantum Computing Inc",,"Tech/Quantum",Arizona,,
"Cognite",,"Tech/AI",Arizona,,
"AVAIO Digital Partners",,"Data Center/AI",Arkansas,,
"SPP",,"Energy/Utilities",Arkansas,,
"R2S",,"Defense/Missiles",Arkansas,,
"Packaging Specialties",,"Packaging",Arkansas,,
"Tate Inc",,"Advanced Mfg",Arkansas,,
"InnovAsian",,"Food Mfg",Arkansas,,
"Panasonic",,"Battery/EV",Kansas,,
"California Jobs First",,"Various",California,,
"Project Ladybug (Hypersonics)",,"Aerospace/Defense/Hypersonics",Colorado,,
"Project Caraway",,"Tech/Software",Colorado,,
"Project Rey/Oxygen (Semis)",,"Semiconductors",Colorado,,
"Project Captain (Food)",,"Food & Bev",Colorado,,
"GKN Aerospace",,"Aerospace",Connecticut,,
"Merck",,"Life Sciences/Pharma",New Jersey,,
"Williams International",,"Aerospace/Defense",Florida,,
"Otto Aerospace",,"Aerospace",Florida,,
"D-Wave Quantum",,"Tech/Quantum",Florida,,
"Rivian",,"EV Manufacturing",Georgia,,
"Preciball USA",,"Advanced Mfg",Georgia,,
"Dongwon Autopart Technology",,"Automotive",Georgia,,
"Grupo Vialume",,"Advanced Mfg",Georgia,,
"BioTouch",,"Healthcare/Logistics",Georgia,,
"Virginia Transformer",,"Grid/Transformers",Georgia,,
"Salesforce",,"Tech",Georgia,,
"Socomec",,"Advanced Mfg",Georgia,,
"Underwood Ammo",,"Advanced Mfg",Georgia,,
"Anovion Technologies",,"Battery/Materials",Georgia,,
"stow Group",,"Automation",Georgia,,
"Archer Aviation",,"eVTOL/Aerospace",Georgia,,
"Jack Links",,"Food Mfg",Georgia,,
"GF Casting Solutions",,"Automotive",Georgia,,
"SynQor",,"Defense/Electronics",New Hampshire,,
"Cronus Chemicals",,"Agribusiness/Clean",Illinois,,
"Savencia Cheese USA",,"Food",Illinois,,
"Caldwell Group",,"Advanced Mfg",Illinois,,
"Tangent",,"Advanced Mfg",Illinois,,
"Amazon",,"Data Center/AI",Indiana,,
"Meta",,"Data Center/AI",Indiana,,
"Roche Diagnostics",,"Life Sciences",Indiana,,
"John Deere",,"Logistics",Indiana,,
"Kimball Electronics",,"Advanced Mfg",Indiana,,
"Caterpillar",,"Heavy Equipment",Indiana,,
"Sioux Honey",,"Food Processing",Iowa,,
"Electro Freeze (H.C. Duke)",,"Food Equipment Mfg",Iowa,,
"TPI Composites",,"Wind Energy",Iowa,,
"Robinson Inc",,"Metal Fabrication",Iowa,,
"LMT Defense",,"Defense",Iowa,,
"New Horizon Cuisine",,"Food Mfg",Iowa,,
"Dexter Laundry",,"Industrial Equipment",Iowa,,
"Morrison Weighing Systems",,"Industrial Equipment",Iowa,,
"Kraft Heinz",,"Food Processing",Iowa,,
"Critical Materials Recycling",,"Advanced Mfg/Critical Minerals",Iowa,,
"HF Rubber",,"Industrial Equipment",Kansas,,
"Three Dog Brands",,"Food",Kansas,,
"GM Fairfax",,"Automotive",Kansas,,
"Ford Motor Company",,"Automotive/EV",Kentucky,,
"GE Appliances",,"Advanced Mfg",Kentucky,,
"Tate Inc./Kingspan",,"Data Center",Kentucky,,
"Shinsung ST USA",,"Energy Storage",Kentucky,,
"James Composites",,"Advanced Mfg",Kentucky,,
"Saronic Technologies",,"Defense/Autonomous",Louisiana,,
"Walmart",,"Logistics",Louisiana,,
"SLB",,"Data Center/Tech",Louisiana,,
"The Shaw Group",,"Advanced Mfg",Louisiana,,
"Ampirical",,"Grid/Engineering",Louisiana,,
"Viking Attachments",,"Advanced Mfg",Louisiana,,
"Hut 8",,"Data Center/AI",Louisiana,,
"ElementUSA",,"Critical Minerals",Louisiana,,
"Epic Piping",,"Industrial Mfg",Louisiana,,
"Plastipak Packaging",,"Packaging",Louisiana,,
"Pipe & Steel Industrial",,"Industrial Mfg",Louisiana,,
"MD Manufacturing 4.0",,"Advanced Mfg",Maryland,,
"Samsung Biologics",,"Life Sciences",Maryland,,
"AstraZeneca",,"Life Sciences",Texas,,
"Patton/PTI",,"Defense/Electronics",Maryland,,
"Syngene International",,"Life Sciences",Maryland,,
"TransMedics",,"Life Sciences",Massachusetts,,
"DuPont/DDP",,"EV Materials",Michigan,,
"Legacy Port Huron Paper",,"Advanced Mfg",Michigan,,
"Volkswagen",,"Automotive",Michigan,,
"Utilidata",,"Grid/Tech",Michigan,,
"MOTIV Bowling",,"Advanced Mfg",Michigan,,
