company_name,website,project_sector,project_state,industry,segment
Alabama River Cellulose (Georgia Pacific) Monroeville,,Paper Product Manufacturing - Pulp Mill,Alabama,Forest Products,
Bad Boy Mowers Monroeville,,Mowers and Tractors,Alabama,Industrial Equipment,
Webster Fulfillment Monroeville,,General Warehousing and Storage,Alabama,Logistics,
Lightsource BP,,Solar Power Generation,Alabama,Energy,Clean Energy
SoGo Packaging LLC,,Syrup and Bottled Fruit Juices,Alabama,Food & Beverage,
Browder Veneer Works Inc.,,Hardwood Veneer,Alabama,Forest Products,
Ju-Young Manufacturing America Inc.,,Seat Harness and Levers,Alabama,General Manufacturing,
Lear Corporation,,Automobile Seats,Alabama,Automotive,
Guyoungtech USA Inc.,,Automobile Body Parts,Alabama,Automotive,
Hartzell Engine Technologies,,Aircraft and Engine Components,Alabama,Industrial Equipment,
CIRG Industries,,Just in Time Sequencing,Alabama,General Manufacturing,
Dotier LLC (Meta),,Data Storage and Distribution,Alabama,Logistics,
Alfa Insurance,,Corporate HQ/Insurance Companies,Alabama,Financial Services,
J.M. Smucker Co.,,Manufactures Cat Food,Alabama,Food & Beverage,
OCI Alabama LLC,,Sodium Percarbonate,Alabama,Chemicals,
Daikin America,,Fluoropolymers,Alabama,Chemicals,
Wolverine Industries,,Integrated Aluminum Manufacturing,Alabama,Metals & Materials,
M&J Industries,,Machine Shop,Alabama,Industrial Equipment,
Pro-Fab Machine of Hartselle Hartselle,,Machine Shop/Fabricated Metal Products,Alabama,Metals & Materials,
Cima Solutions LLC Phenix City,,Rubber Mats,Alabama,Chemicals,
NVH Georgia LLC Phenix City,,Automotive Floor Mats,Alabama,Automotive,
Johns Manville Phenix City,,Rockwool Insulation,Alabama,Construction,
Logan Machine Works Phenix City,,Metal Fabrication,Alabama,Metals & Materials,
Edgar's Old Style Bakery Pelham,,Commercial Bakery,Alabama,Food & Beverage,
Specification Rubber Pelham,,Rubber Product Manufacturing,Alabama,Chemicals,
Buckner Trailers Springville,,Truck Trailer Manufacturing,Alabama,Transportation,
The Distribution Point LLC Moody,,Plumbing Distribution,Alabama,Logistics,
Prystup Packaging Products Livingston,,Folding Paperboard Box,Alabama,Forest Products,
JW Holdings Dadeville,,Painting Auto Parts,Alabama,Automotive,
Southern Ionics Incorporated,,Sodium Bisulfite,Alabama,Chemicals,
Microchip Technology Inc.,,Semiconductor and Related Device Manufac,Alabama,Semiconductors,Semiconductors
Tosyali International Ltd.,,Jewelry Manufacturing,Alabama,Consumer Products,
Mercedes-Benz USA LLC Vance,,Auto Merchant Wholesaler,Alabama,Automotive,
Nat 20 Scientific LLC Buhl,,Scientific Research and Development Serv,Alabama,General Manufacturing,
Jasper Lumber Company LLC Jasper,,Saw Mill,Alabama,Forest Products,
Jones Machine & Welding Oakman,,"Production, Welding, Warehouse",Alabama,Logistics,
Cooper Marine Inc. Calvert,,Barge Transportation,Alabama,Logistics,
J.M. Smucker Co. Decatur Morgan,,Manufactures Cat Food,Alabama,Food & Beverage,
Eli Lilly Huntsville Limestone,,Pharmaceutical Preparation Manufacturing,Alabama,Life Sciences,Biotech & Life Sciences
AAA USA Mobile,,Corporate HQ/Insurance Companies,Alabama,Financial Services,
Alfa Insurance Montgomery,,Corporate HQ/Insurance Companies,Alabama,Financial Services,
Primo Mobile,,Plastic Extrusion,Alabama,Chemicals,
Daikin America Decatur Morgan,,Fluoropolymers,Alabama,Chemicals,
Nelson Brothers LLC Parrish Walker,,Specialty Chemicals and Commercial Explo,Alabama,Chemicals,
OCI Alabama LLC Decatur Morgan,,Sodium Percarbonate,Alabama,Chemicals,
SCA Inc. Auburn Lee,,Plastics Product Manufacturing,Alabama,Chemicals,
Amazon Oxford Calhoun,,Distribution and Delivery,Alabama,Logistics,
APM Terminals Mobile,,Container Terminal,Alabama,Logistics,
CIRG Industries Montgomery,,Just in Time Sequencing,Alabama,General Manufacturing,
Titomic USA Inc. Huntsville Limestone,,Titanium Additive Coatings,Alabama,Metals & Materials,
M&J Industries Decatur Morgan,,Machine Shop,Alabama,Industrial Equipment,
Qualico Webb Houston,,Steel Fabrication,Alabama,Metals & Materials,
Derichebourg Mobile,,Aerospace Staffing,Alabama,Space,Space Tech
GE Aerospace Auburn Lee,,Aerospace Product and Parts Manufacturin,Alabama,Space,Space Tech
GE Aerospace Huntsville Limestone,,Carbon Composites,Alabama,General Manufacturing,
SES Inc. Huntsville Madison,,Aircraft Integration,Alabama,General Manufacturing,
TSA LLC Tuskegee Macon,,Specialty Automotive Fabricator,Alabama,Metals & Materials,
Kimberly-Clark Mobile,,Paper Manufacturing,Alabama,Forest Products,
Lightsource BP Montgomery,,Solar Power Generation,Alabama,Energy,Clean Energy
Toyota Tsusho Huntsville Limestone,,Solar Power Generation,Alabama,Energy,Clean Energy
Core Scientific Auburn Lee,,Multi - Tenant Data Center,Alabama,Tech,AI & Machine Learning
SmartWiz Birmingham Jefferson,,Tax Software Technology Company,Alabama,Financial Services,
Dotier LLC (Meta) Montgomery,,Data Storage and Distribution,Alabama,Logistics,
Prism Systems Mobile,,Software Engineering Firm,Alabama,Industrial Equipment,
Hadrian,,Aerospace/AI Mfg,Arizona,Space,Space Tech
KPPC Advanced Chemicals,,Semiconductors,Arizona,Semiconductors,Semiconductors
Ascent Aviation Services,,Aerospace,Arizona,Space,Space Tech
KoMiCo,,Semiconductors,Arizona,Semiconductors,Semiconductors
Gifthealth,,Life Sciences/Tech,Arizona,Life Sciences,Biotech & Life Sciences
DSV,,Logistics,Arizona,Logistics,
AbbVie,,Life Sciences,Arizona,Life Sciences,Biotech & Life Sciences
Mayo Clinic,,Life Sciences,Arizona,Life Sciences,Biotech & Life Sciences
Eternity Technologies,,Battery,Arizona,Energy,Battery Storage
Komatsu,,Mining,Arizona,General Manufacturing,
Brewer Science,,Semiconductors,Arizona,Semiconductors,Semiconductors
Dutch Bros,,HQ/Food & Bev,Arizona,Food & Beverage,
Kestra Holdings,,Financial Services,Arizona,Financial Services,
Quantum Computing Inc,,Tech/Quantum,Arizona,Tech,AI & Machine Learning
Cognite,,Tech/AI,Arizona,Tech,AI & Machine Learning
AVAIO Digital Partners,,Data Center/AI,Arkansas,Tech,AI & Machine Learning
SPP,,Energy/Utilities,Arkansas,General Manufacturing,
R2S,,Defense/Missiles,Arkansas,Defense,Defense Tech
Packaging Specialties,,Packaging,Arkansas,Packaging,
Tate Inc,,Advanced Mfg,Arkansas,General Manufacturing,
InnovAsian,,Food Mfg,Arkansas,Food & Beverage,
Panasonic,,Battery/EV,Kansas,Energy,Battery Storage
California Jobs First,,Various,California,General Manufacturing,
Project Ladybug (Hypersonics),,Aerospace/Defense/Hypersonics,Colorado,Defense,Defense Tech
Project Caraway,,Tech/Software,Colorado,Tech,
Project Rey/Oxygen (Semis),,Semiconductors,Colorado,Semiconductors,Semiconductors
Project Captain (Food),,Food & Bev,Colorado,Food & Beverage,
GKN Aerospace,,Aerospace,Connecticut,Space,Space Tech
Merck,,Life Sciences/Pharma,New Jersey,Life Sciences,Biotech & Life Sciences
Williams International,,Aerospace/Defense,Florida,Defense,Defense Tech
Otto Aerospace,,Aerospace,Florida,Space,Space Tech
D-Wave Quantum,,Tech/Quantum,Florida,Tech,AI & Machine Learning
Rivian,,EV Manufacturing,Georgia,Automotive,EV Battery
Preciball USA,,Advanced Mfg,Georgia,General Manufacturing,
Dongwon Autopart Technology,,Automotive,Georgia,Automotive,
Grupo Vialume,,Advanced Mfg,Georgia,General Manufacturing,
BioTouch,,Healthcare/Logistics,Georgia,Logistics,
Virginia Transformer,,Grid/Transformers,Georgia,Energy,Clean Energy
Salesforce,,Tech,Georgia,Tech,
Socomec,,Advanced Mfg,Georgia,General Manufacturing,
Underwood Ammo,,Advanced Mfg,Georgia,General Manufacturing,
Anovion Technologies,,Battery/Materials,Georgia,Energy,Battery Storage
stow Group,,Automation,Georgia,Robotics,Robotics & Automation
Archer Aviation,,eVTOL/Aerospace,Georgia,Space,Space Tech
Jack Links,,Food Mfg,Georgia,Food & Beverage,
GF Casting Solutions,,Automotive,Georgia,Automotive,
SynQor,,Defense/Electronics,New Hampshire,Defense,Defense Tech
Cronus Chemicals,,Agribusiness/Clean,Illinois,Food & Beverage,
Savencia Cheese USA,,Food,Illinois,Food & Beverage,
Caldwell Group,,Advanced Mfg,Illinois,General Manufacturing,
Tangent,,Advanced Mfg,Illinois,General Manufacturing,
Amazon,,Data Center/AI,Indiana,Tech,AI & Machine Learning
Meta,,Data Center/AI,Indiana,Tech,AI & Machine Learning
Roche Diagnostics,,Life Sciences,Indiana,Life Sciences,Biotech & Life Sciences
John Deere,,Logistics,Indiana,Logistics,
Kimball Electronics,,Advanced Mfg,Indiana,General Manufacturing,
Caterpillar,,Heavy Equipment,Indiana,Industrial Equipment,
Sioux Honey,,Food Processing,Iowa,Food & Beverage,
Electro Freeze (H.C. Duke),,Food Equipment Mfg,Iowa,Food & Beverage,
TPI Composites,,Wind Energy,Iowa,Energy,Clean Energy
