company_name,website,slug
"Robinson Inc","https://robinsoncompany.com","robinson-inc"
"Three Dog Brands","https://threedogbrands.com","three-dog-brands"
"MP Materials","https://mpmaterials.com/","mp-materials"
"AstraZeneca","https://astrazeneca.com","astrazeneca"
"DuPont/DDP","https://dupont.com","dupont-ddp"
"xAI","https://x.ai","xai"
"Canfor","https://canfor.com","canfor"
"Hut 8","https://hut8.com","hut-8"
"BWC Terminals","https://bwcterminals.com","bwc-terminals"
"MD Manufacturing 4.0","https://mdmanufacturing.com","md-manufacturing-4-0"
"Samsung Biologics","https://samsung.com","samsung-biologics"
"Environmental Air Systems","https://environmentalairsystems.com","environmental-air-systems"
"Switch","https://switch.com","switch"
"Toyota","https://toyota.com","toyota"
"SRC Technologies","https://srctec.com","src-technologies"
"Bozeman Photonics","https://bozemanphotonics.com","bozeman-photonics"
"CMP Advanced Mechanical Solutions","https://cmpams.com","cmp-advanced-mechanical-solutions"
"Eco King Solutions (Kingsun)","https://kingsun.com","eco-king-solutions-kingsun"
"Toshiba Energy","toshiba-energy.com","toshiba-energy"
"Sheetz","https://sheetz.com","sheetz"
"Maersk","https://maersk.com","maersk"
"FIT Precast","https://fitprecast.com","fit-precast"
"BJ's Wholesale Club","https://bjs.com","bj-s-wholesale-club"
"MRI Software","https://mrisoftware.com","mri-software"
"GEALAN","https://gealan.de","gealan"
"SencorpWhite","https://sencorpwhite.com","sencorpwhite"
"Novartis Gene Therapies","https://novartis.com","novartis-gene-therapies"
"AWS","https://aws.amazon.com","aws"
"Vultr","https://vultr.com","vultr"
"Whirlpool","https://whirlpool.com","whirlpool"
"Honda/LG Battery","https://honda.com","honda-lg-battery"
"Nestlé Purina","https://purina.com","nestl-purina"
"Smucker's","https://jmsmucker.com","smucker-s"
"New Horizons Baking","https://newhorizonsbaking.com","new-horizons-baking"
"Diversified Fall Protection","https://fallpd.com","diversified-fall-protection"
"Gabe's","https://gabesdiscount.com","gabe-s"
"Oculii","https://oculii.com","oculii"
"Supply Technologies","https://supplytech.com","supply-technologies"
"Lubrizol","https://lubrizol.com","lubrizol"
"Revere Plastics Systems","https://eveairmobility.com","revere-plastics-systems"
"La Linea Verde","https://lalineaverde.it","la-linea-verde"
"Joby Aviation (propeller blades)","https://jobyaviation.com","joby-aviation-propeller-blades"
"(Data center development)","https://eveairmobility.com","data-center-development"
"SkyWater Technology","skywatertechnology.com","skywater-technology"
"Kulicke & Soffa","kns.com","kulicke-soffa"
"STMicroelectronics","st.com","stmicroelectronics"
"Amkor Technology","amkor.com","amkor-technology"
"Encore Technologies","https://encoretg.com","encore-technologies"
"Becker Mining","https://bfrg.com","becker-mining"
"ATSG/AMES","https://atsginc.com","atsg-ames"
"DartPoints","https://dartpoints.com","dartpoints"
"Google","https://google.com","google"
"Quonset Business Park","https://quonset.com","quonset-business-park"
"Coastal Precast Systems","https://coastalprecast.com","coastal-precast-systems"
"U.S. Bridge","https://usbridge.com","u-s-bridge"
"Hydrite Chemical","https://hydrite.com","hydrite-chemical"
"Woodward","https://woodward.com","woodward"
"Mecad USA","https://mecad.com","mecad-usa"
"Span-America Medical","https://spanamerica.com","span-america-medical"
"Aran USA","https://aran.ie","aran-usa"
"Huwell US","https://huwell.com","huwell-us"
"JGB Brothers","https://jgbbrothers.com","jgb-brothers"
"Coastal Ready Mix","https://coastalreadymix.com","coastal-ready-mix"
"Samsung","https://samsung.com","samsung"
"Radiant","radiantnuclear.com","radiant"
"Embraer","https://embraer.com","embraer"
"Cascades Holding US Inc.","https://cascades.com","cascades-holding-us-inc"
"SPC Group","https://spcgroup.co.kr","spc-group"
"MGM/VanTran Transformers","https://gm.com","mgm-vantran-transformers"
"L&T Technology","https://ltts.com","l-t-technology"
"PEGATRON","https://pegatron.com","pegatron"
"Yerico Manufacturing","https://yerico.com","yerico-manufacturing"
"Furlani Foods, LLC","https://furlani.com","furlani-foods-llc"
"Ohio Gratings","https://ohiogratings.com","ohio-gratings"
"Associated Milk Producers, Inc.","https://oci-global.com","associated-milk-producers-inc"
"Meta House Inc.","https://meta.com","meta-house-inc"
"DB HiTek","dbhitek.com","db-hitek"
"WEG Transformers USA","weg.us","weg-transformers-usa"
"Niagara Power Transformer","niagarapowertransformer.com","niagara-power-transformer"
"Teradyne","teradyne.com","teradyne"
"d-Matrix","d-matrix.ai","d-matrix"
"bluebird bio","https://bluebirdbio.com","bluebird-bio"
"U.S. Space Command","https://spacecom.mil","u-s-space-command"
"Titomic USA Inc.","https://titomic.com","titomic-usa-inc"
"U.S. Steel","https://ussteel.com","u-s-steel"
"Green Health Laboratories Foley","https://greenhealthlabs.com","green-health-laboratories-foley"
"Kobay Enstal Oxford","https://ford.com","kobay-enstal-oxford"
"Changer & Dresser Anniston","https://changerdresser.com","changer-dresser-anniston"
"Corrugated Supplies Corporation Cullman","https://corrubox.com","corrugated-supplies-corporation-cullman"
"Perdido River Farms/Poarch Band of Creek Indians Atmore","https://pfrfarms.com","perdido-river-farms-poarch-band-of-creek-indians-atmore"
"Oldcastle Lawn & Garden Abbeville","https://abb.com","oldcastle-lawn-garden-abbeville"
"ArcelorMittal Calvert","https://arcelormittal.com","arcelormittal-calvert"
"Vaughn Industries","https://vaughnindustries.com","vaughn-industries"
"PRC-Saltillo","https://prc-saltillo.com","prc-saltillo"
"Logan Machine Works Phenix City","https://loganmachineworks.com","logan-machine-works-phenix-city"
"Nat 20 Scientific LLC Buhl","https://nat20scientific.com","nat-20-scientific-llc-buhl"
"Nelson Brothers LLC Parrish Walker","https://nelsonbros.com","nelson-brothers-llc-parrish-walker"
"InnovAsian","https://innovasiancuisine.com","innovasian"
"GE Aerospace Huntsville Limestone","https://geaerospace.com","ge-aerospace-huntsville-limestone"
"Pacific Life Insurance","https://pacificlife.com","pacific-life-insurance"
"Resilience","https://resilience.com","resilience"
"Virginia Transformer","https://vatransformer.com","virginia-transformer"
"GF Casting Solutions","https://gf.com","gf-casting-solutions"
"Roche Diagnostics","https://roche.com","roche-diagnostics"
"Louisiana-Pacific","https://lpcorp.com","louisiana-pacific"
"Dutch Bros","https://dutchbros.com","dutch-bros"
"Merck","https://merck.com","merck"
"Johns Manville Phenix City","https://jm.com","johns-manville-phenix-city"
"Scotiabank","https://scotiabank.com","scotiabank"
"Ninth Avenue Foods","https://ninthavefoods.com","ninth-avenue-foods"
"Veeco Instruments","veeco.com","veeco-instruments"
"MacLean Power Systems","macleanpower.com","maclean-power-systems"
"QuaLex Manufacturing","https://qualexmfg.com","qualex-manufacturing"
"Siemens Energy Gas","siemens-energy.com","siemens-energy-gas"
"Georg Utz","https://utzgroup.com","georg-utz"
"Ironline Metals","https://meta.com","ironline-metals"
"NanoAvionics","https://nanoavionics.com","nanoavionics"
"First Quality","https://firstquality.com","first-quality"
"Eurofins Lancaster Labs","https://eurofins.com","eurofins-lancaster-labs"
"Isuzu North America","https://isuzucv.com","isuzu-north-america"
"Iovance Biotherapeutics","https://iovance.com","iovance-biotherapeutics"
"Doncasters Oxford","https://ford.com","doncasters-oxford"
"Shinko Electric Industries","shinko.co.jp","shinko-electric-industries"
"Attabotics","attabotics.com","attabotics"
"Yaskawa Electric","yaskawa.co.jp","yaskawa-electric"
"Alfa Insurance Montgomery","https://alfainsurance.com","alfa-insurance-montgomery"
"CIRG Industries Montgomery","https://cirgindustries.com","cirg-industries-montgomery"
"Lightsource BP Montgomery","https://lightsourcebp.com","lightsource-bp-montgomery"
"Safe Industries","https://safeindustries.com","safe-industries"
"Atara Biotherapeutics","https://atarabio.com","atara-biotherapeutics"
"Ardentec","ardentec.com","ardentec"
"Edgar's Old Style Bakery Pelham","https://edgarsbakery.com","edgar-s-old-style-bakery-pelham"
"Rehlko (Kohler Energy)","rehlko.com","rehlko-kohler-energy"
"Prystup Packaging Products Livingston","https://prystup.com","prystup-packaging-products-livingston"
"Samkwang","https://samkwang.co.kr","samkwang"
"Rolls-Royce","https://rolls-royce.com","rolls-royce"
"Ansaldo Energia","ansaldoenergia.com","ansaldo-energia"
"Autolus Therapeutics","https://autolus.com","autolus-therapeutics"
"Microchip Technology","microchip.com","microchip-technology"
"Vishay Intertechnology","vishay.com","vishay-intertechnology"
"Yamaha Motor Corporation USA Bridgeport","https://yamahamotorsports.com","yamaha-motor-corporation-usa-bridgeport"
"Briggs & Stratton LLC","https://briggsandstratton.com","briggs-stratton-llc"
"James Composites","https://jamescomposites.com","james-composites"
"Tokyo Electron","tok.co.jp","tokyo-electron"
"Nanya Technology","nanya.com","nanya-technology"
"Honeybee Robotics","https://honeybeerobotics.com","honeybee-robotics"
"Toppan / Tekscend Photomask","holdings.toppan.com","toppan-tekscend-photomask"
"Komatsu","https://komatsu.com","komatsu"
"Joby Aviation (2nd facility)","https://jobyaviation.com","joby-aviation-2nd-facility"
"Wieland Chase","https://wieland.com","wieland-chase"
"Gracell Biotechnologies (AstraZeneca)","https://gracellbio.com","gracell-biotechnologies-astrazeneca"
"Viking Attachments","https://vikingattachments.com","viking-attachments"
"Novartis Cell Therapy","https://novartis.com","novartis-cell-therapy"
"Nestle Purina","https://purina.com","nestle-purina"
"MGC Pure Chemicals","https://mgc.co.jp","mgc-pure-chemicals"
"Tesla Energy","https://www.tesla.com/megapack","tesla-energy"
"Arcellx","https://arcellx.com","arcellx"
"Camtek","camtek.com","camtek"
"CALB","calb.tech","calb"
"OMCO Solar","omcoracking.com","omco-solar"
"BD (Becton Dickinson)","https://bd.com","bd-becton-dickinson"
"EPC-Columbia","https://epccompanies.com","epc-columbia"
"Vermeer Corp","https://vermeer.com","vermeer-corp"
"Bridor USA","https://bridor.com","bridor-usa"
"Microbial Discovery Group","https://microbialdg.com","microbial-discovery-group"
"KADIA USA","https://kadia.de","kadia-usa"
"Vermilion Madison Development LLC","https://eveairmobility.com","vermilion-madison-development-llc"
"Kokusai Electric","kokusai-electric.com","kokusai-electric"
"Substrate","substrate.com","substrate"
"Shinkawa (Yamaha)","yamaha-robotics.com/shinkawa","shinkawa-yamaha"
"EVE Energy","evebattery.com","eve-energy"
"DNP (Dai Nippon Printing)","global.dnp","dnp-dai-nippon-printing"
"Sonnen","sonnen.com","sonnen"
"CITEL America","https://citel.us","citel-america"
"NVIDIA","nvidia.com","nvidia"
"Swinburne University of Technology (Space)","swinburne.edu.au","swinburne-university-of-technology-space"
"Powell Industries","powellind.com","powell-industries"
"II-VI Aerospace & Defense","https://www.coherent.com/","ii-vi-aerospace-defense"
"Enerpac Tool Group, Corp.","https://enerpac.com","enerpac-tool-group-corp"
"ON Semiconductor","onsemi.com","on-semiconductor"
"Entegris","cmcmaterials.com","entegris"
"Marvell Technology","marvell.com","marvell-technology"
"X-energy","x-energy.com","x-energy"
"Nuward (EDF)","nuward.eu","nuward-edf"
"Pacific Manufacturing","https://pacmfg.com","pacific-manufacturing"
"SK Hynix","skhynix.com","sk-hynix"
"Siemens Energy","siemens-energy.com","siemens-energy"
"Brooks Automation","brooks.com","brooks-automation"
"Howard Industries","howard-ind.com","howard-industries"
"FirstElement Fuel","firstelementfuel.com","firstelement-fuel"
"Tesla","https://www.tesla.com/megapack","tesla"
"Trener Robotics","trenerrobotics.com","trener-robotics"
"Allonic","allonic.com","allonic"
"Grand River Aseptic Manufacturing","grandriveraseptic.com","grand-river-aseptic-manufacturing"
"Mitsubishi Electric","https://mitsubishielectric.com","mitsubishi-electric"
"Fenner Precision Polymers","https://fennerprecision.com","fenner-precision-polymers"
"LEENO Industrial","leeno.com","leeno-industrial"
"Linde","linde.com","linde"
"Eugene Technology","eugenetech.co.kr","eugene-technology"
"WiJo Pouches NA","https://wijopouches.com","wijo-pouches-na"
"Hanwha Aerospace","https://www.hanwhaaerospace.com","hanwha-aerospace"
"SCREEN Semiconductor Solutions","screen.co.jp","screen-semiconductor-solutions"
"SUMCO","sumco.com","sumco"
"Powertech Technology (PTI)","pti.com.tw","powertech-technology-pti"
"Wooptix","wooptix.com","wooptix"
"MemryX","memryx.com","memryx"
"Rebellions","rebellions.ai","rebellions"
"Vertiv","vertiv.com","vertiv"
"L3Harris Technologies","https://www.l3harris.com/","l3harris-technologies"
"Lucy Electric","lucyelectric.com","lucy-electric"
"Polar Semiconductor","polarsemi.com","polar-semiconductor"
"King Yuan Electronics (KYEC)","kyec.com.tw","king-yuan-electronics-kyec"
"Hyundai Mobis","mobis.com","hyundai-mobis"
"LS Cable & System","lscns.co.kr","ls-cable-system"
"Graham Corp","https://grahamcorp.com","graham-corp"
"RITZ Instrument Transformers","rfritz.de","ritz-instrument-transformers"
"Infineon Technologies","infineon.com","infineon-technologies"
"Besi (BE Semiconductor)","besi.com","besi-be-semiconductor"
"ASMPT","asm.com","asmpt"
"BWXT Nuclear Fuel Services","https://bwxt.com","bwxt-nuclear-fuel-services"
"Survalent Technology","survalent.com","survalent-technology"
"AAVantgarde Bio","https://aavantgarde.com","aavantgarde-bio"
"UMC","umc.com","umc"
"DISCO Corporation","disco.co.jp","disco-corporation"
"Sarepta Therapeutics","https://sarepta.com","sarepta-therapeutics"
"SPTS Technologies (KLA)","spts.com","spts-technologies-kla"
"Analog Devices","analog.com","analog-devices"
"Tower Semiconductor","towersemi.com","tower-semiconductor"
"Hyosung HICO","hyosungheavyindustries.com","hyosung-hico"
"Paragraf","paragraf.com","paragraf"
"Clas-SiC Wafer Fab","clas-sic.com","clas-sic-wafer-fab"
"Inventec","https://inventec.com","inventec"
"JinkoSolar","jinkosolar.com","jinkosolar"
"Aixtron","aixtron.com","aixtron"
"American Resources","https://honda.com","american-resources"
"Lattice Semiconductor","latticesemi.com","lattice-semiconductor"
"StressCrete Group","scgrp.com","stresscrete-group"
"EnerVenue","https://enervenue.com/","enervenue"
"L3Harris","https://www.l3harris.com/","l3harris"
"Stem Inc","stem.com","stem-inc"
"NeoVolta","https://neovolta.com/","neovolta"
"Rapidus","rapidus.inc","rapidus"
"Tokyo Ohka Kogyo (TOK)","tok.co.jp","tokyo-ohka-kogyo-tok"
"Wonik IPS","ips.co.kr","wonik-ips"
"Urban Mining Company","urbanminingcompany.com","urban-mining-company"
"Novartis","https://novartis.com","novartis"
"ASML","asml.com","asml"
"Mitsubishi Electric Power Products","pwps.com","mitsubishi-electric-power-products"
"ESMC (TSMC/Bosch/Infineon/NXP)","esmc.eu","esmc-tsmc-bosch-infineon-nxp"
"Generac Power Systems","generac.com","generac-power-systems"
"MTU Aero Engines","https://mtu.de","mtu-aero-engines"
"Advantest","advantest.com","advantest"
"Solar Turbines","solarturbines.com","solar-turbines"
"Hai Robotics","hairobotics.com","hai-robotics"
"Corintis","corintis.com","corintis"
"GomSpace","https://gomspace.com","gomspace"
"RobCo","https://www.robco.de/","robco"
"SK Siltron","sksiltron.com","sk-siltron"
"Cohu","cohu.com","cohu"
"Space Forge","https://spaceforge.com","space-forge"
"Ultramet","https://ultramet.com/","ultramet"
"USA Rare Earth","https://www.usare.com/","usa-rare-earth"
"CMC Materials (Entegris)","cmcmaterials.com","cmc-materials-entegris"
"FormFactor","formfactor.com","formfactor"
"Salcomp","https://salcomp.com","salcomp"
"Ace Aeronautics","https://aceaero.com","ace-aeronautics"
"American Resources / ReElement","https://www.americanresourcescorp.com/","american-resources-reelement"
"Samsung Foundry","samsung.com/semiconductor","samsung-foundry"
"Vecna Robotics","vecnarobotics.com","vecna-robotics"
"CPT America","https://cptgroup.com","cpt-america"
"Georgia Pacific/Alabama River Cellulose","https://gp.com","georgia-pacific-alabama-river-cellulose"
"Array Labs","arraylabs.com","array-labs"
"Aerospacelab","https://aerospacelab.be","aerospacelab"
"Texas Instruments","https://ti.com","texas-instruments"
"K2 Space","k2space.com","k2-space"
"Satrec Initiative","https://satreci.com","satrec-initiative"
"Lynas Rare Earths","https://lynasrareearths.com/","lynas-rare-earths"
"Corning Optical Communications","https://corning.com","corning-optical-communications"
"Canopy Aerospace","https://www.canopyaerospace.com/","canopy-aerospace"
"REEtec","https://reetec.no/","reetec"
"Yaskawa America, Inc","https://www.yaskawa.com/","yaskawa-america-inc"
"Evonik","https://evonik.com","evonik"
"Olsun Electrics","olsun.com","olsun-electrics"
"Eos Energy","https://www.eose.com/","eos-energy"
"Orbital Assembly","https://orbitalassembly.com","orbital-assembly"
"Preformed Line Products","plp.com","preformed-line-products"
"Park Aerospace","https://parkaerospace.com/","park-aerospace"
"SSAB","https://ssab.com","ssab"
"Honeywell Intelligrated","https://honeywell.com","honeywell-intelligrated"
"ABB","https://abb.com","abb"
"VAT Group","vatgroup.com","vat-group"
"Haynes International","https://haynesintl.com/","haynes-international"
"Sims Bark Florala","https://simsbark.com","sims-bark-florala"
"Omaha Track Attalla","https://omahatrack.com","omaha-track-attalla"
"Kimberly-Clark","https://kimberly-clark.com","kimberly-clark"
"Schneider Electric","se.com","schneider-electric"
"Jasper Lumber","https://jasperlumber.com","jasper-lumber"
"Virginia Transformer Corp","https://vatransformer.com","virginia-transformer-corp"
"Owens Corning","https://owenscorning.com","owens-corning"
"Altex Packaging Inc. Anniston","https://altexpackaging.com","altex-packaging-inc-anniston"
"Hyosung Heavy Industries","hyosungheavyindustries.com","hyosung-heavy-industries"
"Kronospan","https://kronospan.com","kronospan"
"Tree Brand Packaging Ranburne","https://treebrand.com","tree-brand-packaging-ranburne"
"Constellium","https://constellium.com","constellium"
"Maddox Industrial Transformer","maddox.com","maddox-industrial-transformer"
